trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,FALSE,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,-23.70025259,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
134,FALSE,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,-5.535713992,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
135,FALSE,"{'a': 0.01, 'e': 0.2190066870930415}",20,7,-17.16293891,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,FALSE,"{'a': 0.01, 'e': 0.20923866589141926}",25,11,10.52581897,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,FALSE,"{'a': 0.01, 'e': 0.19944972099757285}",25,10,25.1721669,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,FALSE,"{'a': 0.01, 'e': 0.18964083129783424}",20,9,18.60396876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,FALSE,"{'a': 0.01, 'e': 0.17981297767299934}",20,12,11.61191364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,FALSE,"{'a': 0.01, 'e': 0.16996714290024081}",30,6,0.506038607,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
141,FALSE,"{'a': 0.01, 'e': 0.16010431155483126}",30,4,-12.53067293,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
142,FALSE,"{'a': 0.01, 'e': 0.15022546991168584}",20,4,13.51029351,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,FALSE,"{'a': 0.01, 'e': 0.1403316058467367}",25,0,14.98198509,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
144,FALSE,"{'a': 0.01, 'e': 0.13042370873814554}",20,14,10.35885797,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,FALSE,"{'a': 0.01, 'e': 0.1205027693673666}",25,5,-11.3512493,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,FALSE,"{'a': 0.01, 'e': 0.11056977982006957}",25,17,13.64198627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,FALSE,"{'a': 0.01, 'e': 0.10062573338693172}",35,15,27.77492408,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
